query,product_id,product_title,product_brand,product_color,product,esci
colelge jewelry,B07QY2XZ2D,"product_title mDesign Plastic Stacking Jewelry Organizer Station, 4 Storage Trays - for Bedroom Dresser, Bathroom Vanity, Countertop, Cabinet, Dressing Table - Holds Bracelets, Watches, Earrings, Necklaces - Clear",product_brand mDesign,product_color Clear,"product_title mDesign Plastic Stacking Jewelry Organizer Station, 4 Storage Trays - for Bedroom Dresser, Bathroom Vanity, Countertop, Cabinet, Dressing Table - Holds Bracelets, Watches, Earrings, Necklaces - Clearproduct_brand mDesignproduct_color Clear",C
mr clean,B06XT161H7,"product_title Mr. Clean Multipurpose Cleaning Solution with Febreze, 128 oz. Capacity Bottle, Meadows and Rain Scent",product_brand Mr.Clean,product_color Green,"product_title Mr. Clean Multipurpose Cleaning Solution with Febreze, 128 oz. Capacity Bottle, Meadows and Rain Scentproduct_brand Mr.Cleanproduct_color Green",E
cotton trousers men,B07YY1QMCN,product_title Wohthops Sport Trousers for Men Jogging Sweatpants Cotton Exercise Outdoor Pants Fitness Pants Baseball Pants with Zipper Pockets,product_brand Wohthops,product_color 2# Navy,product_title Wohthops Sport Trousers for Men Jogging Sweatpants Cotton Exercise Outdoor Pants Fitness Pants Baseball Pants with Zipper Pocketsproduct_brand Wohthopsproduct_color 2# Navy,E
michael corse wallet for women,B07PPTTRD4,product_title Michael Kors Jet Set Travel Flat Slim Bifold Saffiano Leather Wallet (Black),product_brand Michael Kors,product_color Black,product_title Michael Kors Jet Set Travel Flat Slim Bifold Saffiano Leather Wallet (Black)product_brand Michael Korsproduct_color Black,E
womens tank tops,B079SRS8GB,"product_title Next Level Womens Festival Tank, M, Royal Pine",product_brand Next Level,product_color Royal Pine,"product_title Next Level Womens Festival Tank, M, Royal Pineproduct_brand Next Levelproduct_color Royal Pine",E
ortho home defense hose sprayer,B00C4TS86I,"product_title Ortho Home Defense MAX Insect Killer for Indoor & Perimeter1 with Comfort Wand - Kills Ants, Cockroaches, Spiders, Fleas, Ticks & Other Listed Bugs, Creates a Bug Barrier, 1.1 gal.",product_brand Ortho,product_color Transparent,"product_title Ortho Home Defense MAX Insect Killer for Indoor & Perimeter1 with Comfort Wand - Kills Ants, Cockroaches, Spiders, Fleas, Ticks & Other Listed Bugs, Creates a Bug Barrier, 1.1 gal.product_brand Orthoproduct_color Transparent",E
key chain,B06XJG2SLP,product_title Zorratin Braided Weave Leather Key Fob Keychain Ring Grip Universal fit All Car Models,product_brand Zorratin,product_color Brown,product_title Zorratin Braided Weave Leather Key Fob Keychain Ring Grip Universal fit All Car Modelsproduct_brand Zorratinproduct_color Brown,E
roll up door opener,B0777ZRFKD,product_title Chain Keeper for Garage Door Chain Hoist,product_brand Garage Openers and Parts,product_color None,product_title Chain Keeper for Garage Door Chain Hoistproduct_brand Garage Openers and Partsproduct_color None,I
4x6 picture frame,B07MBG53JD,product_title Emfogo 4x6 Picture Frame Photo Display for Tabletop Display Wall Mount Solid Wood High Definition Glass Photo Frame Pack of 2 Carbonized Black,product_brand Emfogo,product_color Carbonized Black,product_title Emfogo 4x6 Picture Frame Photo Display for Tabletop Display Wall Mount Solid Wood High Definition Glass Photo Frame Pack of 2 Carbonized Blackproduct_brand Emfogoproduct_color Carbonized Black,E
led light battery,B07Q9PVRBG,"product_title Puck Lights, LED Color Changing Puck Lighting LED Closet Lights Under Counter Lights Wireless LED Color Changing Puck Lights Battery Operated Dimmable Under Cabinet Lights for Kitchen (9 Pack)",product_brand SOLMORE,product_color White,"product_title Puck Lights, LED Color Changing Puck Lighting LED Closet Lights Under Counter Lights Wireless LED Color Changing Puck Lights Battery Operated Dimmable Under Cabinet Lights for Kitchen (9 Pack)product_brand SOLMOREproduct_color White",E
